"Station","Code"
"Aalten","ATN"
"Abcoude","AC"
"Akkrum","AKM"
"Alkmaar","AMR"
"Almelo","AML"
"Alkmaar Noord","AMRN"
"Alphen a/d Rijn","APN"
"Amersfoort Schothorst","AMFS"
"Amersfoort","AMF"
"Amsterdam RAI","RAI"
"Amsterdam Amstel","ASA"
"Amsterdam Centraal","ASD"
"Amsterdam Sloterdijk","ASS"
"Amsterdam Muiderpoort","ASDM"
"Amsterdam Zuid","ASDZ"
"Anna Paulowna","ANA"
"Apeldoorn","APD"
"Appingedam","APG"
"Arkel","AKL"
"Arnemuiden","ARN"
"Arnhem Centraal","AH"
"Arnhem Velperpoort","AHP"
"Assen","ASN"
"Amsterdam Bijlmer ArenA","ASB"
"Arnhem Presikhaaf","AHPR"
"Amsterdam Van der Madeweg","VMW"
"Amsterdam Lelylaan","ASDL"
"Almere Centrum","ALM"
"Almere Buiten","ALMB"
"Almere Muziekwijk","ALMM"
"Baarn","BRN"
"Baflo","BF"
"Barendrecht","BRD"
"Barneveld Centrum","BNC"
"Barneveld Noord","BNN"
"Bedum","BDM"
"Beek-Elsloo","BK"
"Beesd","BSD"
"Beilen","BL"
"Almere Parkwijk","ALMP"
"Bergen op Zoom","BGN"
"Best","BET"
"Beverwijk","BV"
"Bilthoven","BHV"
"Barneveld Zuid","BNZ"
"Blerick","BR"
"Bloemendaal","BLL"
"Bodegraven","BDG"
"Borne","BN"
"Boskoop","BSK"
"Boskoop Snijdelwijk","BSKS"
"Bovenkarspel-Grootebroek","BKG"
"Boxmeer","BMR"
"Boxtel","BTL"
"Breda","BD"
"Breda-Prinsenbeek","BDPB"
"Breukelen","BKL"
"Lansingerland-Zoetermeer","LLZM"
"Brummen","BMN"
"Buitenpost","BP"
"Bunde","BDE"
"Bunnik","BNK"
"Bussum Zuid","BSMZ"
"Capelle Schollevaar","CPS"
"Castricum","CAS"
"Chevremont","CVM"
"Coevorden","CO"
"Culemborg","CL"
"Cuijk","CK"
"Dalen","DLN"
"Diemen Zuid","DMNZ"
"Daarlerveen","DA"
"Diemen","DMN"
"Delft Campus (vanaf 15 dec)","DTCP"
"Delft Zuid (t/m 14 dec)","DTZ"
"Dalfsen","DL"
"Deinum","DEI"
"Delden","DDN"
"Delft","DT"
"Delfzijl","DZ"
"Deurne","DN"
"Deventer","DV"
"Didam","DID"
"Delfzijl West","DZW"
"Dieren","DR"
"Doetinchem","DTC"
"Den Dolder","DLD"
"Dordrecht","DDR"
"Dordrecht Zuid","DDZD"
"Driebergen-Zeist","DB"
"Driehuis","DRH"
"Doetinchem De Huet","DTCH"
"Deventer Colmschate","DVC"
"Dordrecht Stadspolders","DDRS"
"De Vink","DVNK"
"Dronryp","DRP"
"Duiven","DVN"
"Duivendrecht","DVD"
"Echt","EC"
"Eindhoven Strijp-S","EHS"
"Dronten","DRON"
"Ede-Wageningen","ED"
"Ede Centrum","EDC"
"Eemshaven","EEM"
"Eindhoven","EHV"
"Elst","EST"
"Emmen","EMN"
"Enkhuizen","EKZ"
"Enschede","ES"
"Ermelo","EML"
"Enschede De Eschmarke","ESE"
"Etten-Leur","ETN"
"Eijsden","EDN"
"Enschede Kennispark","ESK"
"Almere Oostvaarders","ALMO"
"Arnhem Zuid","AHZ"
"Amersfoort Vathorst","AVAT"
"Apeldoorn Osseveld","APDO"
"Bovenkarspel Flora","BKF"
"Amsterdam Holendrecht","ASHD"
"Franeker","FN"
"Apeldoorn De Maten","APDM"
"Eygelshoven Markt","EGHM"
"Amsterdam Science Park","ASSP"
"Boven-Hardinxveld","BHDV"
"Groningen Europapark","GERP"
"Gaanderen","GDR"
"Helmond Brandevoort","HMBV"
"Geldermalsen","GDM"
"Geldrop","GP"
"Geleen Oost","GLN"
"Geleen-Lutterade","LUT"
"Gilze-Rijen","GZ"
"Goes","GS"
"Goor","GO"
"Gorinchem","GR"
"Gouda Goverwelle","GDG"
"Gouda","GD"
"Gramsbergen","GBG"
"Glanerbrug","GBR"
"Groningen","GN"
"Groningen Noord","GNN"
"Grou-Jirnsum","GW"
"Grijpskerk","GK"
"Haarlem Spaarnwoude","HLMS"
"Den Haag Mariahoeve","GVM"
"Den Haag Moerwijk","GVMW"
"Den Haag HS","GV"
"Den Haag Centraal","GVC"
"Haarlem","HLM"
